track_id,name,artist,genre,year,preview_url
1,The Ghost of Tom Joad,Rage Against the Machine,Rock,2000,https://p.scdn.co/mp3-preview/65aeba64446260387b180f36bf2c4024b272a81a?cid=774b29d4f13844c495f206cafdad9c86
2,Tight,Mindless Self Indulgence,,2011,https://p.scdn.co/mp3-preview/563278b9ab72908e811bb1c16e769d398f75ac0c?cid=774b29d4f13844c495f206cafdad9c86
3,Mine Again,Mariah Carey,RnB,2005,https://p.scdn.co/mp3-preview/6814771538f85def861170c16e12a02e7dba462d?cid=774b29d4f13844c495f206cafdad9c86
4,Pretty People,Low,,2007,https://p.scdn.co/mp3-preview/5030ba5c118757d0d0519afec6e44aa948dc3f2c?cid=774b29d4f13844c495f206cafdad9c86
5,I Come Alive,The Used,,2012,https://p.scdn.co/mp3-preview/eebd04447c74bfb32cf7262e76f23c5e9b32ef9d?cid=774b29d4f13844c495f206cafdad9c86
6,The Rain Must Fall,Yanni,New Age,2012,https://p.scdn.co/mp3-preview/38970bc4c1107034de0eabaaadc87292b2190ef5?cid=774b29d4f13844c495f206cafdad9c86
7,Just for You,Sam Cooke,,2011,https://p.scdn.co/mp3-preview/f249d58b7742ab8620b00ba4a9fd9d211b18ca5b?cid=774b29d4f13844c495f206cafdad9c86
8,Scorpion Frog,Infected Mushroom,,2013,https://p.scdn.co/mp3-preview/15e77a2e63f430192184abe5d6ff40da1da19978?cid=774b29d4f13844c495f206cafdad9c86
9,Good Morning Night,Bad Astronaut,,2006,https://p.scdn.co/mp3-preview/b763751793015f353c1b4fca0b54326b592497c3?cid=774b29d4f13844c495f206cafdad9c86
10,Tempted To Touch,Rupee,,2003,https://p.scdn.co/mp3-preview/de1ffcb87deeaae67b7a3646f36e7b7ae00cb62f?cid=774b29d4f13844c495f206cafdad9c86
11,Enthused,blink-182,Rock,2010,https://p.scdn.co/mp3-preview/04ad784c45f1864d147002c4ff8b57e15ad739f8?cid=774b29d4f13844c495f206cafdad9c86
12,Niña Bonita,Chino & Nacho,,2010,https://p.scdn.co/mp3-preview/50bd3cf9d452447044e25fa06e4218fc9b66af15?cid=774b29d4f13844c495f206cafdad9c86
13,Amazing,Aerosmith,,2000,https://p.scdn.co/mp3-preview/1959c28e1192a13bee7e37ee31d0cd7aac36b75f?cid=774b29d4f13844c495f206cafdad9c86
14,Glitterball,FC/Kahuna,Electronic,2002,https://p.scdn.co/mp3-preview/5c7612fc70cb56af5615cc6bf700e5c81f006acb?cid=774b29d4f13844c495f206cafdad9c86
15,Stone to Wake a Serpent,Isis,Metal,2009,https://p.scdn.co/mp3-preview/dde02c95228f790852cffe56ddc92d59f466e648?cid=774b29d4f13844c495f206cafdad9c86
16,Trust in You,The Offspring,,2008,https://p.scdn.co/mp3-preview/0d10bf8c041910e905b3e5847d6c4eb865e6d9df?cid=774b29d4f13844c495f206cafdad9c86
17,We Won't Back Down,Escape the Fate,,2008,https://p.scdn.co/mp3-preview/f002224d11008cb32245e595ac199801cecd760b?cid=774b29d4f13844c495f206cafdad9c86
18,Soñé,Zoé,,2007,https://p.scdn.co/mp3-preview/4f8d93485d78f3995dc11f7e580b6ed9a5264aa8?cid=774b29d4f13844c495f206cafdad9c86
19,The Alchemist's Dream,Behemoth,,1999,https://p.scdn.co/mp3-preview/d7f1f3c50ef9d02ac11bd4d0bf506856cbbf9cec?cid=774b29d4f13844c495f206cafdad9c86
20,Hurting,Friendly Fires,,2012,https://p.scdn.co/mp3-preview/699e05d0ef8d499fede839664f6668bb31a1b740?cid=774b29d4f13844c495f206cafdad9c86
21,Merry Christmas Mr. Lawrence,坂本龍一,,2013,https://p.scdn.co/mp3-preview/d52c17e7cbcda79d988ea08e8a5a2fb7ae5db09d?cid=774b29d4f13844c495f206cafdad9c86
22,Deceived,Extreme Noise Terror,,1995,https://p.scdn.co/mp3-preview/c986a4e3df3bacf36e112179949b53fe01d5690b?cid=774b29d4f13844c495f206cafdad9c86
23,The Eruption,Emperor,,2001,https://p.scdn.co/mp3-preview/eb03e4bf2d1990636248f5c5b7cb7e81ab9ec30b?cid=774b29d4f13844c495f206cafdad9c86
24,Bermuda Highway,My Morning Jacket,Rock,2001,https://p.scdn.co/mp3-preview/43ae0388fa2527602d7ef69b197741e1b5fe537e?cid=774b29d4f13844c495f206cafdad9c86
